,Team 1,Team 1 Label,num boys Sports,T1 American Indian/Alaska Native,T1 Asian or Asian/Pacific Islander,T1 Hispanic,T1 Black,T1 White,T1 Nat. Hawaiian or Other Pacific Isl.,T1 Two or More Races,T1 Total Students,T1 Grades 9-12 Students,T1 Pupil/Teacher Ratio,T1 Charter School,T1 Magnet School,T1 Private School,MV,Total Games,Total Wins,Win Percentage
10901,Fairwinds Christian,10902,4.0,0.6,0.6,12.1,38.2,38.8,0.0,9.6,233.0,35.0,10.13,1,1,1.0,-7.5625,16,5,31.2
10905,Greenwood Mennonite,10906,4.0,0.0,0.5,9.6,2.5,87.3,0.0,0.0,212.0,55.0,8.42,1,1,1.0,17.074074074074073,27,24,88.9
10922,St. Andrew's,10923,6.0,0.0,20.4,4.5,8.7,58.6,0.0,7.8,309.0,309.0,6.44,1,1,1.0,-1.5714285714285714,14,8,57.1
10929,St. Mark's,10930,,0.2,4.8,5.4,5.8,79.6,0.2,4.0,501.0,501.0,11.26,1,1,1.0,2.375,22,7,31.8
10932,William Penn,10933,8.0,1.1,15.2,2.3,11.3,70.1,0.0,0.0,177.0,45.0,9.62,1,1,1.0,9.2,17,10,58.8
10934,Tower Hill,10935,7.0,0.0,17.8,1.6,6.4,63.7,0.0,10.6,798.0,319.0,7.88,1,1,1.0,14.08695652173913,27,20,74.1
10935,Wilmington Christian,10936,,0.3,10.1,4.7,12.3,68.1,0.0,4.4,352.0,136.0,9.38,1,1,1.0,-7.733333333333333,19,4,21.1
10938,Wilmington Friends,10939,6.0,0.6,4.6,5.6,15.5,65.3,0.2,8.2,702.0,275.0,9.58,1,1,1.0,0.6190476190476191,22,9,40.9
10945,Alta-Aurelia,10946,6.0,0.0,10.9,10.0,10.0,69.0,0.0,0.0,264.0,107.0,9.92,1,1,1.0,-14.0,25,6,24.0
10964,Beckman,10965,6.0,0.0,1.3,1.9,0.0,96.0,0.0,0.8,375.0,268.0,15.0,1,1,1.0,-0.4583333333333333,24,9,37.5
10971,Bishop Garrigan,10972,,0.0,0.0,1.2,0.0,98.8,0.0,0.0,428.0,134.0,10.56,1,1,1.0,-6.142857142857143,23,6,26.1
